,Event_ID,Year,Country_Code,Country_Name,Latitude,Longitude,Type,Death_Toll,Severity
60,1060,2015,DOM,Dominican Republic,18.735693,-70.162651,Storm,20,Very High Risk
61,1061,1999,AIA,Anguilla,18.220554,-63.068615,Storm,20,
62,1062,2007,AGO,Angola,-11.202692,17.873887,Epidemic,515,Medium Risk
63,1063,2013,CAN,Canada,56.130366,-106.346771,Flood,4,Very Low Risk
64,1064,2000,BIH,Bosnia and Herzegovina,43.915886,17.679076,Epidemic,20,Medium Risk
65,1065,2006,ESP,Spain,40.463667,-3.74922,Extreme temperature ,21,Very Low Risk
66,1066,2018,MEX,Mexico,23.634501,-102.552784,Storm,14,Medium Risk
67,1067,2019,BGD,Bangladesh,23.684994,90.356331,Flood,114,Very High Risk
68,1068,1913,NER,Niger,17.607789,8.081666,Insect infestation,20,Very High Risk
69,1069,1983,JPN,Japan,36.204824,138.252924,Volcanic activity,20,Very High Risk
70,1070,2006,BRA,Brazil,-14.235004,-51.92528,Flood,12,Low Risk
71,1071,2009,COM,Comoros,-11.875001,43.872219,Flood,2,Medium Risk
72,1072,2019,BOL,Bolivia,-16.290154,-63.588653,Wildfire,20,Low Risk
73,1073,2017,VGB,"Virgin Islands, British",18.420695,-64.639968,Storm,9,
74,1074,2002,EGY,Egypt,26.820553,30.802498,Flood,14,Very Low Risk
75,1075,2004,IDN,Indonesia,-0.789275,113.921327,Landslide,13,Very High Risk
76,1076,2017,ITA,Italy,41.87194,12.56738,Storm,4,Low Risk
77,1077,2006,MWI,Malawi,-13.254308,34.301525,Epidemic,20,High Risk
78,1078,2010,DOM,Dominican Republic,18.735693,-70.162651,Epidemic,130,Very High Risk
79,1079,2008,IDN,Indonesia,-0.789275,113.921327,Earthquake,3,Very High Risk
80,1080,2000,CHL,Chile,-35.675147,-71.542969,Extreme temperature ,20,Very High Risk
81,1081,2010,GUY,Guyana,4.860416,-58.93018,Drought,20,Very High Risk
82,1082,2009,MRT,Mauritania,21.00789,-10.940835,Flood,1,High Risk
83,1083,2002,IND,India,20.593684,78.96288,Epidemic,86,Medium Risk
84,1084,1999,TUR,Turkey,38.963745,35.243322,Earthquake,20,Low Risk
85,1085,2013,USA,United States,37.09024,-95.712891,Storm,27,Low Risk
86,1086,1987,CHL,Chile,-35.675147,-71.542969,Flood,54,Very High Risk
87,1087,2002,RUS,Russia,61.52401,105.318756,Storm,2,Low Risk
88,1088,2018,KEN,Kenya,-0.023559,37.906193,Flood,72,Medium Risk
89,1089,2008,PHL,Philippines,12.879721,121.774017,Storm,37,Very High Risk
90,1090,2016,TON,Tonga,-21.178986,-175.198242,Storm,20,Very High Risk
91,1091,1992,CHN,China,35.86166,104.195397,Mass movement (dry),49,Medium Risk
92,1092,1909,CHN,China,35.86166,104.195397,Epidemic,1500000,Medium Risk
93,1093,2012,ECU,Ecuador,-1.831239,-78.183406,Flood,29,High Risk
94,1094,1975,HKG,"Hong Kong S.A.R., China",22.396428,114.109497,Flood,3,
95,1095,2020,IDN,Indonesia,-0.789275,113.921327,Flood,20,Very High Risk
96,1096,2019,ETH,Ethiopia,9.145,40.489673,Landslide,23,Medium Risk
97,1097,2013,DNK,Denmark,56.26392,9.501785,Storm,1,Very Low Risk
98,1098,1997,CHL,Chile,-35.675147,-71.542969,Storm,4,Very High Risk
99,1099,2013,CUB,Cuba,21.521757,-77.781167,Flood,2,Medium Risk
100,1100,2013,KEN,Kenya,-0.023559,37.906193,Flood,20,Medium Risk
101,1101,2015,TZA,Tanzania,-6.369028,34.888822,Storm,47,High Risk
102,1102,1936,NOR,Norway,60.472024,8.468946,Landslide,73,Very Low Risk
103,1103,2013,VNM,Vietnam,14.058324,108.277199,Flood,29,Very High Risk
104,1104,1991,NER,Niger,17.607789,8.081666,Epidemic,2618,Very High Risk
105,1105,2010,NPL,Nepal,28.394857,84.124008,Flood,12,Medium Risk
106,1106,1980,VNM,Vietnam,14.058324,108.277199,Storm,132,Very High Risk
107,1107,2011,CHL,Chile,-35.675147,-71.542969,Volcanic activity,20,Very High Risk
108,1108,2007,JPN,Japan,36.204824,138.252924,Earthquake,20,Very High Risk
109,1109,1969,SLV,El Salvador,13.794185,-88.89653,Storm,2,Very High Risk
110,1110,2019,FRA,France,46.227638,2.213749,Storm,20,Very Low Risk
111,1111,2008,TZA,Tanzania,-6.369028,34.888822,Flood,72,High Risk
112,1112,2019,PRT,Portugal,39.399872,-8.224454,Storm,2,Low Risk
113,1113,2009,NGA,Nigeria,9.081999,8.675277,Flood,31,High Risk
114,1114,2009,SLV,El Salvador,13.794185,-88.89653,Drought,20,Very High Risk
115,1115,2007,GBR,United Kingdom,55.378051,-3.435973,Flood,6,Low Risk
116,1116,1979,JPN,Japan,36.204824,138.252924,Storm,71,Very High Risk
117,1117,2021,THA,Thailand,15.870032,100.992541,Flood,4,Medium Risk
118,1118,1981,PHL,Philippines,12.879721,121.774017,Storm,4,Very High Risk
119,1119,1977,SYR,Syrian Arab Republic,34.802075,38.996815,Epidemic,88,Medium Risk
120,1120,1933,ITA,Italy,41.87194,12.56738,Earthquake,10,Low Risk
121,1121,1942,TUR,Turkey,38.963745,35.243322,Earthquake,3000,Low Risk
122,1122,1989,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
123,1123,1923,JPN,Japan,36.204824,138.252924,Storm,3000,Very High Risk
124,1124,2006,PHL,Philippines,12.879721,121.774017,Landslide,11,Very High Risk
125,1125,2019,URY,Uruguay,-32.522779,-55.765835,Flood,20,Low Risk
126,1126,1991,IDN,Indonesia,-0.789275,113.921327,Flood,15,Very High Risk
127,1127,2020,SVN,Slovenia,46.151241,14.995463,Storm,1,Low Risk
128,1128,1999,ESP,Spain,40.463667,-3.74922,Drought,20,Very Low Risk
129,1129,1989,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
130,1130,1961,HKG,"Hong Kong S.A.R., China",22.396428,114.109497,Flood,20,
131,1131,2008,USA,United States,37.09024,-95.712891,Flood,18,Low Risk
132,1132,2016,OMN,Oman,21.512583,55.923255,Flood,2,Very Low Risk
133,1133,2006,NGA,Nigeria,9.081999,8.675277,Flood,20,High Risk
134,1134,2010,JAM,Jamaica,18.109581,-77.297508,Storm,15,Very High Risk
135,1135,2007,IRN,Iran,32.427908,53.688046,Storm,12,Low Risk
136,1136,1993,TJK,Tajikistan,38.861034,71.276093,Landslide,5,Medium Risk
137,1137,1998,ESP,Spain,40.463667,-3.74922,Storm,20,Very Low Risk
138,1138,2019,RWA,Rwanda,-1.940278,29.873888,Flood,16,High Risk
139,1139,2011,NPL,Nepal,28.394857,84.124008,Extreme temperature ,20,Medium Risk
140,1140,1970,HKG,"Hong Kong S.A.R., China",22.396428,114.109497,Flood,20,
141,1141,2017,PRT,Portugal,39.399872,-8.224454,Wildfire,64,Low Risk
142,1142,2000,TZA,Tanzania,-6.369028,34.888822,Flood,36,High Risk
143,1143,2008,IND,India,20.593684,78.96288,Flood,173,Medium Risk
144,1144,2020,ETH,Ethiopia,9.145,40.489673,Landslide,10,Medium Risk
145,1145,1963,USA,United States,37.09024,-95.712891,Storm,203,Low Risk
146,1146,1999,PER,Peru,-9.189967,-75.015152,Earthquake,20,Medium Risk
147,1147,2012,BHS,Bahamas,25.03428,-77.39628,Storm,1,Low Risk
148,1148,2006,CAN,Canada,56.130366,-106.346771,Flood,20,Very Low Risk
149,1149,2007,PAK,Pakistan,30.375321,69.345116,Landslide,43,Medium Risk
150,1150,1993,TTO,Trinidad and Tobago,10.691803,-61.222503,Storm,20,Medium Risk
151,1151,2004,SDN,Sudan,12.862807,30.217636,Epidemic,11,High Risk
152,1152,2009,SOM,Somalia,5.152149,46.199616,Flood,20,
153,1153,2013,PER,Peru,-9.189967,-75.015152,Flood,67,Medium Risk
154,1154,2002,ITA,Italy,41.87194,12.56738,Epidemic,3,Low Risk
155,1155,2012,USA,United States,37.09024,-95.712891,Storm,5,Low Risk
156,1156,2012,PHL,Philippines,12.879721,121.774017,Storm,20,Very High Risk
157,1157,1995,LUX,Luxembourg,49.815273,6.129583,Storm,20,Very Low Risk
158,1158,2018,POL,Poland,51.919438,19.145136,Drought,20,Very Low Risk
159,1159,2003,PHL,Philippines,12.879721,121.774017,Storm,20,Very High Risk
160,1160,2014,THA,Thailand,15.870032,100.992541,Flood,10,Medium Risk
161,1161,2019,YEM,Yemen,15.552727,48.516388,Flood,6,Medium Risk
162,1162,1986,CHL,Chile,-35.675147,-71.542969,Flood,23,Very High Risk
163,1163,2002,CIV,Cote d'Ivoire,7.539989,-5.54708,Epidemic,15,High Risk
164,1164,2014,CHL,Chile,-35.675147,-71.542969,Wildfire,12,Very High Risk
165,1165,1984,ZAF,South Africa,-30.559482,22.937506,Storm,20,Medium Risk
166,1166,1991,IND,India,20.593684,78.96288,Flood,84,Medium Risk
167,1167,2017,HUN,Hungary,47.162494,19.503304,Storm,20,Medium Risk
168,1168,2004,PHL,Philippines,12.879721,121.774017,Storm,104,Very High Risk
169,1169,2003,USA,United States,37.09024,-95.712891,Landslide,15,Low Risk
170,1170,2000,MOZ,Mozambique,-18.665695,35.529562,Flood,800,High Risk
171,1171,1920,USA,United States,37.09024,-95.712891,Storm,224,Low Risk
172,1172,2011,CHL,Chile,-35.675147,-71.542969,Wildfire,1,Very High Risk
173,1173,2020,PAN,Panama,8.537981,-80.782127,Storm,4,Medium Risk
174,1174,1982,PHL,Philippines,12.879721,121.774017,Storm,65,Very High Risk
175,1175,1980,TZA,Tanzania,-6.369028,34.888822,Epidemic,12,High Risk
176,1176,1983,BRA,Brazil,-14.235004,-51.92528,Flood,75,Low Risk
177,1177,2006,CIV,Cote d'Ivoire,7.539989,-5.54708,Epidemic,2,High Risk
178,1178,2006,UGA,Uganda,1.373333,32.290275,Epidemic,43,Medium Risk
179,1179,1997,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
180,1180,1954,MEX,Mexico,23.634501,-102.552784,Landslide,100,Medium Risk
181,1181,1994,PAK,Pakistan,30.375321,69.345116,Flood,316,Medium Risk
182,1182,2008,CHN,China,35.86166,104.195397,Extreme temperature ,16,Medium Risk
183,1183,2005,NGA,Nigeria,9.081999,8.675277,Flood,60,High Risk
184,1184,1983,ITA,Italy,41.87194,12.56738,Landslide,20,Low Risk
185,1185,1979,ARG,Argentina,-38.416097,-63.616672,Flood,20,Low Risk
186,1186,2020,ITA,Italy,41.87194,12.56738,Storm,1,Low Risk
187,1187,1998,PAK,Pakistan,30.375321,69.345116,Landslide,13,Medium Risk
188,1188,2015,NGA,Nigeria,9.081999,8.675277,Epidemic,97,High Risk
189,1189,1973,ITA,Italy,41.87194,12.56738,Storm,20,Low Risk
190,1190,2007,GMB,Gambia,13.443182,-15.310139,Flood,20,Very High Risk
191,1191,2001,THA,Thailand,15.870032,100.992541,Flood,2,Medium Risk
192,1192,1998,KOR,South Korea,35.907757,127.766922,Storm,55,Low Risk
193,1193,2015,URY,Uruguay,-32.522779,-55.765835,Flood,2,Low Risk
194,1194,2007,ZWE,Zimbabwe,-19.015438,29.154857,Epidemic,67,High Risk
195,1195,2004,IND,India,20.593684,78.96288,Flood,160,Medium Risk
196,1196,1990,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
197,1197,2004,WSM,Samoa,-13.759029,-172.104629,Storm,1,
198,1198,2009,MAR,Morocco,31.791702,-7.09262,Flood,24,Medium Risk
199,1199,2009,COD,Congo,-4.038333,21.758664,Epidemic,102,Medium Risk
200,1200,1990,KNA,Saint Kitts and Nevis,17.357822,-62.782998,Storm,20,
201,1201,2008,EGY,Egypt,26.820553,30.802498,Mass movement (dry),98,Very Low Risk
202,1202,2003,BOL,Bolivia,-16.290154,-63.588653,Flood,4,Low Risk
203,1203,2000,IDN,Indonesia,-0.789275,113.921327,Earthquake,45,Very High Risk
204,1204,1999,CHN,China,35.86166,104.195397,Earthquake,20,Medium Risk
205,1205,2003,SVK,Slovakia,48.669026,19.699024,Extreme temperature ,20,Very Low Risk
206,1206,1992,TUR,Turkey,38.963745,35.243322,Earthquake,653,Low Risk
207,1207,2002,CHN,China,35.86166,104.195397,Landslide,16,Medium Risk
208,1208,1995,EGY,Egypt,26.820553,30.802498,Flood,7,Very Low Risk
209,1209,2018,IRN,Iran,32.427908,53.688046,Earthquake,20,Low Risk
210,1210,1968,KEN,Kenya,-0.023559,37.906193,Flood,20,Medium Risk
211,1211,2014,ITA,Italy,41.87194,12.56738,Flood,1,Low Risk
212,1212,2013,CHN,China,35.86166,104.195397,Earthquake,198,Medium Risk
213,1213,2004,USA,United States,37.09024,-95.712891,Storm,9,Low Risk
214,1214,2020,CHN,China,35.86166,104.195397,Earthquake,4,Medium Risk
215,1215,2010,DEU,Germany,51.165691,10.451526,Extreme temperature ,1,Very Low Risk
216,1216,2016,MOZ,Mozambique,-18.665695,35.529562,Flood,47,High Risk
217,1217,2015,PRK,"Korea, Democratic People's Republic of",40.339852,127.510093,Flood,33,
218,1218,2014,NGA,Nigeria,9.081999,8.675277,Epidemic,755,High Risk
219,1219,2020,BDI,Burundi,-3.373056,29.918886,Storm,2,Very High Risk
220,1220,2013,CHN,China,35.86166,104.195397,Storm,25,Medium Risk
221,1221,1997,TTO,Trinidad and Tobago,10.691803,-61.222503,Volcanic activity,20,Medium Risk
222,1222,2002,PHL,Philippines,12.879721,121.774017,Storm,62,Very High Risk
223,1223,2000,KOR,South Korea,35.907757,127.766922,Epidemic,6,Low Risk
224,1224,2008,PRY,Paraguay,-23.442503,-58.443832,Storm,20,Low Risk
225,1225,2002,IDN,Indonesia,-0.789275,113.921327,Earthquake,20,Very High Risk
226,1226,1992,PAK,Pakistan,30.375321,69.345116,Earthquake,36,Medium Risk
227,1227,1987,IDN,Indonesia,-0.789275,113.921327,Drought,20,Very High Risk
228,1228,2002,PHL,Philippines,12.879721,121.774017,Flood,18,Very High Risk
229,1229,2011,USA,United States,37.09024,-95.712891,Wildfire,2,Low Risk
230,1230,2016,MYS,Malaysia,4.210484,101.975766,Flood,20,Medium Risk
231,1231,2013,CHN,China,35.86166,104.195397,Flood,10,Medium Risk
232,1232,1935,USA,United States,37.09024,-95.712891,Storm,408,Low Risk
233,1233,2021,TJK,Tajikistan,38.861034,71.276093,Earthquake,5,Medium Risk
234,1234,2001,CAN,Canada,56.130366,-106.346771,Epidemic,1,Very Low Risk
235,1235,1935,TWN,Taiwan,23.69781,120.960515,Earthquake,3276,
236,1236,1952,GBR,United Kingdom,55.378051,-3.435973,Fog,4000,Low Risk
237,1237,2001,PAK,Pakistan,30.375321,69.345116,Landslide,15,Medium Risk
238,1238,2003,CAN,Canada,56.130366,-106.346771,Flood,2,Very Low Risk
239,1239,1960,PRI,Puerto Rico,18.220833,-66.590149,Storm,20,
240,1240,2011,RWA,Rwanda,-1.940278,29.873888,Flood,14,High Risk
241,1241,2006,AFG,Afghanistan,33.93911,67.709953,Storm,42,Very High Risk
242,1242,1966,PRY,Paraguay,-23.442503,-58.443832,Flood,20,Low Risk
243,1243,1989,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
244,1244,1980,NIC,Nicaragua,12.865416,-85.207229,Flood,20,Very High Risk
245,1245,2013,NLD,Netherlands,52.132633,5.291266,Storm,20,High Risk
246,1246,2003,ZAF,South Africa,-30.559482,22.937506,Flood,1,Medium Risk
247,1247,2000,ROU,Romania,45.943161,24.96676,Flood,9,Medium Risk
248,1248,2013,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
249,1249,2009,IDN,Indonesia,-0.789275,113.921327,Landslide,14,Very High Risk
250,1250,2012,CHN,China,35.86166,104.195397,Flood,53,Medium Risk
251,1251,1997,JPN,Japan,36.204824,138.252924,Storm,3,Very High Risk
252,1252,2016,ETH,Ethiopia,9.145,40.489673,Flood,28,Medium Risk
253,1253,1975,KEN,Kenya,-0.023559,37.906193,Flood,20,Medium Risk
254,1254,2004,IDN,Indonesia,-0.789275,113.921327,Epidemic,658,Very High Risk
255,1255,1980,MRT,Mauritania,21.00789,-10.940835,Drought,20,High Risk
256,1256,2005,AFG,Afghanistan,33.93911,67.709953,Flood,12,Very High Risk
257,1257,1983,BGD,Bangladesh,23.684994,90.356331,Flood,41,Very High Risk
258,1258,2014,IDN,Indonesia,-0.789275,113.921327,Flood,11,Very High Risk
259,1259,2012,PRY,Paraguay,-23.442503,-58.443832,Flood,20,Low Risk
260,1260,2001,CHN,China,35.86166,104.195397,Storm,125,Medium Risk
261,1261,2016,CHN,China,35.86166,104.195397,Storm,20,Medium Risk
262,1262,2021,KAZ,Kazakhstan,48.019573,66.923684,Drought,20,Low Risk
263,1263,2011,ITA,Italy,41.87194,12.56738,Flood,6,Low Risk
264,1264,1992,PRY,Paraguay,-23.442503,-58.443832,Flood,20,Low Risk
265,1265,2000,BWA,Botswana,-22.328474,24.684866,Flood,3,Low Risk
266,1266,2004,BGD,Bangladesh,23.684994,90.356331,Storm,20,Very High Risk
267,1267,1946,AZO,Azores Islands,0.0,0.0,Storm,27,
268,1268,1990,JPN,Japan,36.204824,138.252924,Flood,27,Very High Risk
269,1269,1991,MUS,Mauritius,-20.348404,57.552152,Storm,20,Very High Risk
270,1270,2007,ZMB,Zambia,-13.133897,27.849332,Flood,10,High Risk
271,1271,2005,HUN,Hungary,47.162494,19.503304,Flood,20,Medium Risk
272,1272,2005,BGR,Bulgaria,42.733883,25.48583,Flood,2,Low Risk
273,1273,1978,HKG,"Hong Kong S.A.R., China",22.396428,114.109497,Storm,7,
274,1274,2021,VCT,Saint Vincent and the Grenadines,12.984305,-61.287228,Volcanic activity,20,
275,1275,2001,RUS,Russia,61.52401,105.318756,Wildfire,20,Low Risk
276,1276,2019,PHL,Philippines,12.879721,121.774017,Storm,19,Very High Risk
277,1277,1993,MRT,Mauritania,21.00789,-10.940835,Drought,20,High Risk
278,1278,2010,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
279,1279,1997,MEX,Mexico,23.634501,-102.552784,Landslide,12,Medium Risk
280,1280,1983,LKA,Sri Lanka,7.873054,80.771797,Flood,3,High Risk
281,1281,2001,DZA,Algeria,28.033886,1.659626,Flood,921,High Risk
282,1282,2010,NER,Niger,17.607789,8.081666,Flood,2,Very High Risk
283,1283,2010,CHE,Switzerland,46.818188,8.227512,Storm,20,Very Low Risk
284,1284,1981,HND,Honduras,15.199999,-86.241905,Flood,20,Very High Risk
285,1285,2002,NGA,Nigeria,9.081999,8.675277,Epidemic,12,High Risk
286,1286,1981,BRA,Brazil,-14.235004,-51.92528,Flood,67,Low Risk
287,1287,1997,PHL,Philippines,12.879721,121.774017,Storm,18,Very High Risk
288,1288,1966,VNM,Vietnam,14.058324,108.277199,Flood,31,Very High Risk
289,1289,1953,TUR,Turkey,38.963745,35.243322,Earthquake,1200,Low Risk
290,1290,2013,SAU,Saudi Arabia,23.885942,45.079162,Flood,24,Very Low Risk
291,1291,1986,PHL,Philippines,12.879721,121.774017,Flood,3,Very High Risk
292,1292,1988,MAR,Morocco,31.791702,-7.09262,Insect infestation,20,Medium Risk
293,1293,2006,IND,India,20.593684,78.96288,Flood,24,Medium Risk
294,1294,2004,USA,United States,37.09024,-95.712891,Flood,20,Low Risk
295,1295,2005,GTM,Guatemala,15.783471,-90.230759,Landslide,7,Very High Risk
296,1296,1997,TWN,Taiwan,23.69781,120.960515,Flood,10,
297,1297,1967,AUS,Australia,-25.274398,133.775136,Drought,600,Low Risk
298,1298,2003,NPL,Nepal,28.394857,84.124008,Flood,239,Medium Risk
299,1299,1966,TUR,Turkey,38.963745,35.243322,Earthquake,14,Low Risk
300,1300,2015,ECU,Ecuador,-1.831239,-78.183406,Volcanic activity,20,High Risk
301,1301,2007,NAM,Namibia,-22.95764,18.49041,Epidemic,7,Medium Risk
302,1302,2001,IND,India,20.593684,78.96288,Storm,78,Medium Risk
303,1303,2013,BGD,Bangladesh,23.684994,90.356331,Storm,31,Very High Risk
304,1304,1968,PER,Peru,-9.189967,-75.015152,Earthquake,11,Medium Risk
305,1305,1981,SUN,Soviet Union,0.0,0.0,Storm,20,
306,1306,1963,HTI,Haiti,18.971187,-72.285215,Storm,5000,Very High Risk
307,1307,2009,MOZ,Mozambique,-18.665695,35.529562,Epidemic,43,High Risk
308,1308,2021,IND,India,20.593684,78.96288,Flood,37,Medium Risk
309,1309,1964,USA,United States,37.09024,-95.712891,Flood,64,Low Risk
310,1310,2003,IND,India,20.593684,78.96288,Storm,5,Medium Risk
311,1311,2021,KEN,Kenya,-0.023559,37.906193,Drought,20,Medium Risk
312,1312,1990,GBR,United Kingdom,55.378051,-3.435973,Storm,20,Low Risk
313,1313,1981,IRN,Iran,32.427908,53.688046,Earthquake,2000,Low Risk
314,1314,1982,SLV,El Salvador,13.794185,-88.89653,Flood,500,Very High Risk
315,1315,1968,PHL,Philippines,12.879721,121.774017,Flood,29,Very High Risk
316,1316,2017,ARG,Argentina,-38.416097,-63.616672,Flood,20,Low Risk
317,1317,2007,HTI,Haiti,18.971187,-72.285215,Flood,2,Very High Risk
318,1318,1988,CHN,China,35.86166,104.195397,Drought,1400,Medium Risk
319,1319,1955,EGY,Egypt,26.820553,30.802498,Earthquake,20,Very Low Risk
320,1320,2021,AFG,Afghanistan,33.93911,67.709953,Flood,113,Very High Risk
321,1321,1954,HTI,Haiti,18.971187,-72.285215,Landslide,262,Very High Risk
322,1322,2006,AFG,Afghanistan,33.93911,67.709953,Flood,10,Very High Risk
323,1323,1995,CRI,Costa Rica,9.748917,-83.753428,Storm,20,Very High Risk
324,1324,2014,CHN,China,35.86166,104.195397,Flood,65,Medium Risk
325,1325,2000,KOR,South Korea,35.907757,127.766922,Storm,25,Low Risk
326,1326,1995,NPL,Nepal,28.394857,84.124008,Landslide,95,Medium Risk
327,1327,2015,BGD,Bangladesh,23.684994,90.356331,Flood,11,Very High Risk
328,1328,2002,PAK,Pakistan,30.375321,69.345116,Flood,14,Medium Risk
329,1329,1983,PAN,Panama,8.537981,-80.782127,Drought,20,Medium Risk
330,1330,1995,COL,Colombia,4.570868,-74.297333,Flood,69,Medium Risk
331,1331,2001,NGA,Nigeria,9.081999,8.675277,Epidemic,80,High Risk
332,1332,2000,CHN,China,35.86166,104.195397,Storm,11,Medium Risk
333,1333,2015,IND,India,20.593684,78.96288,Flood,8,Medium Risk
334,1334,2006,AGO,Angola,-11.202692,17.873887,Epidemic,68,Medium Risk
335,1335,2004,TCD,Chad,15.454166,18.732207,Epidemic,21,Very High Risk
336,1336,2019,PER,Peru,-9.189967,-75.015152,Landslide,15,Medium Risk
337,1337,1992,HUN,Hungary,47.162494,19.503304,Drought,20,Medium Risk
338,1338,1906,NER,Niger,17.607789,8.081666,Drought,20,Very High Risk
339,1339,2012,RUS,Russia,61.52401,105.318756,Extreme temperature ,64,Low Risk
340,1340,1988,USA,United States,37.09024,-95.712891,Storm,20,Low Risk
341,1341,2019,AGO,Angola,-11.202692,17.873887,Flood,11,Medium Risk
